Type,Response ID,Start Date,End Date,Status,Source Type,InteractPedestrian,InteractBicycle,CircumstancesCoded,FeelingsProvingGround,SafetyHuman,SafetyAV,AVSafetyPotential,RegulationTesting,RegulationSpeed,RegulationSchoolZone,RegulationShareData,AdvocacyIssues,BikePghPosition,PayingAttentionAV,FamiliarityTechnoology,ZipCode
Public,260295925,02/22/2017 7:39:32 PM PST,02/22/2017 7:51:05 PM PST,COMPLETE,Survey Link,Yes,Yes,4,Disapprove,3,1,No,Yes,Yes,Yes,Yes,Strongly Agree,Neither Support nor Oppose,To a large extent,Mostly familiar,15207
Public,260328968,02/23/2017 6:35:18 AM PST,02/23/2017 6:45:46 AM PST,COMPLETE,Social,Yes,No,4,Neutral,3,4,Yes,Yes,No,No,Yes,Neutral,Neither Support nor Oppose,To a moderate extent,Mostly familiar,15212
Public,260331994,02/23/2017 8:52:41 AM PST,02/23/2017 8:56:59 AM PST,COMPLETE,Survey Link,Yes,Yes,4,Somewhat Disapprove,3,3,Maybe,Yes,Yes,No,Yes,Neutral,Neither Support nor Oppose,To some extent,Somewhat familiar,15233
Public,260332060,02/23/2017 8:54:44 AM PST,02/23/2017 9:07:01 AM PST,COMPLETE,Survey Link,No,Yes,4,Disapprove,4,3,No,Yes,Yes,Yes,Not sure,Neutral,Actively Oppose,To a moderate extent,Somewhat familiar,15217
Public,260332092,02/23/2017 8:56:07 AM PST,02/23/2017 9:01:09 AM PST,COMPLETE,Survey Link,Yes,No,4,Neutral,3,3,Maybe,Yes,Not sure,Not sure,Yes,Agree,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15217
Public,260332871,02/23/2017 9:32:16 AM PST,02/23/2017 9:34:09 AM PST,COMPLETE,Survey Link,No,Yes,4,Neutral,3,3,Maybe,Not sure,Not sure,Not sure,Yes,Neutral,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15206
Public,260334109,02/23/2017 10:22:26 AM PST,02/23/2017 10:25:20 AM PST,COMPLETE,Survey Link,Yes,Yes,4,Approve,3,3,Maybe,Yes,Yes,Not sure,Yes,Agree,Actively Support,To a moderate extent,Somewhat familiar,15219
Public,260336700,02/23/2017 11:42:07 AM PST,02/23/2017 11:44:05 AM PST,COMPLETE,Survey Link,Yes,Yes,4,Disapprove,4,1,No,Yes,Yes,Yes,Yes,Strongly Agree,Actively Oppose,To a large extent,Mostly familiar,15147
Public,260338841,02/23/2017 12:30:40 PM PST,02/23/2017 12:39:39 PM PST,COMPLETE,Survey Link,Yes,Yes,4,Somewhat Approve,3,3,Yes,Not sure,Not sure,Yes,Yes,Neutral,Actively Support,To a moderate extent,Somewhat familiar,15210
Public,260340231,02/23/2017 1:05:47 PM PST,03/07/2017 9:23:04 AM PST,COMPLETE,Survey Link,Yes,Yes,4,Somewhat Disapprove,4,2,Maybe,Not sure,Yes,Not sure,Yes,Neutral,Actively Oppose,Not at all,Somewhat familiar,15289
Public,260344314,02/23/2017 2:40:00 PM PST,02/23/2017 2:44:02 PM PST,COMPLETE,Survey Link,Yes,Yes,4,Approve,2,3,Not sure,Yes,Yes,No,Yes,Disagree,No Opinion,To some extent,Somewhat familiar,15065
Public,260346096,02/23/2017 3:39:06 PM PST,02/23/2017 3:46:00 PM PST,COMPLETE,Survey Link,Yes,No,4,Approve,3,4,Yes,Yes,Yes,Yes,Yes,Neutral,Actively Support,To some extent,Somewhat familiar,15224
Public,260349659,02/23/2017 5:29:43 PM PST,02/23/2017 5:34:17 PM PST,COMPLETE,Survey Link,No,Yes,4,Somewhat Disapprove,4,3,Yes,Yes,Yes,Yes,Yes,Agree,Actively Support,To some extent,Mostly Unfamiliar,15221
Public,260351134,02/23/2017 6:27:18 PM PST,02/23/2017 6:41:05 PM PST,COMPLETE,Survey Link,No,Yes,4,Somewhat Approve,2,1,Yes,Yes,Yes,No,No,Strongly Agree,Actively Support,To some extent,Mostly familiar,15201
Public,260382014,02/24/2017 4:23:14 AM PST,02/24/2017 4:40:44 AM PST,COMPLETE,Survey Link,Yes,No,4,Approve,4,4,Not sure,Yes,Yes,Yes,Yes,Agree,Actively Support,To some extent,Mostly Unfamiliar,15224
Public,260393517,02/24/2017 11:58:51 AM PST,02/24/2017 12:03:19 PM PST,COMPLETE,Social,Yes,Yes,4,Approve,4,5,Yes,Yes,Not sure,No,Yes,Disagree,Actively Support,To a moderate extent,Somewhat familiar,15218
Public,260458008,02/25/2017 9:26:41 AM PST,02/25/2017 9:34:25 AM PST,COMPLETE,Social,Yes,Not sure,4,Somewhat Disapprove,2,2,Maybe,Yes,Yes,Yes,Yes,Strongly Disagree,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15219
Public,260648971,02/27/2017 10:00:51 AM PST,02/27/2017 10:03:48 AM PST,COMPLETE,Survey Link,Yes,Yes,4,Disapprove,2,1,No,Yes,Yes,Yes,Yes,Agree,Actively Oppose,To a moderate extent,Somewhat familiar,15222
Public,260676209,02/27/2017 7:29:46 PM PST,02/27/2017 7:37:07 PM PST,COMPLETE,Survey Link,Yes,Not sure,4,Somewhat Disapprove,4,3,Maybe,Yes,Not sure,Yes,Yes,Agree,Actively Support,To some extent,Somewhat familiar,15131
Public,260820956,03/03/2017 5:52:16 AM PST,03/03/2017 6:14:43 AM PST,COMPLETE,Survey Link,Yes,Yes,4,Disapprove,3,3,No,Yes,Yes,Yes,No,Agree,Actively Oppose,To a moderate extent,Mostly familiar,15224
Public,260822947,03/03/2017 7:08:33 AM PST,03/03/2017 7:19:15 AM PST,COMPLETE,Survey Link,No,Yes,4,Disapprove,4,2,Maybe,Yes,Yes,Yes,Yes,Strongly Agree,Neither Support nor Oppose,To some extent,Mostly Unfamiliar,15218
Public,260859525,03/04/2017 2:59:56 PM PST,03/04/2017 3:03:26 PM PST,COMPLETE,Survey Link,No,Yes,4,Disapprove,4,2,Maybe,Yes,Yes,Yes,Yes,Disagree,Actively Oppose,To some extent,Mostly Unfamiliar,15229
Public,260941817,03/07/2017 5:38:50 AM PST,03/07/2017 5:46:29 AM PST,COMPLETE,Survey Link,Yes,No,4,Disapprove,3,1,Not sure,Yes,Not sure,Yes,Yes,,Neither Support nor Oppose,To a large extent,Somewhat familiar,15215
Public,260963654,03/07/2017 10:18:46 AM PST,03/07/2017 10:37:05 AM PST,COMPLETE,Survey Link,No,Yes,4,Disapprove,4,3,No,Yes,Yes,Yes,Not sure,Agree,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15211
Public,260976232,03/07/2017 11:31:52 AM PST,03/07/2017 11:38:04 AM PST,COMPLETE,Survey Link,Yes,Yes,4,Somewhat Approve,4,3,Yes,Yes,No,No,Yes,Disagree,Neither Support nor Oppose,To a large extent,Somewhat familiar,15209
Public,261045674,03/07/2017 6:38:10 PM PST,03/07/2017 6:42:46 PM PST,COMPLETE,Survey Link,Yes,No,4,Neutral,3,2,Yes,Not sure,Yes,Not sure,Yes,Agree,Neither Support nor Oppose,To a large extent,Mostly familiar,15206
Public,261103027,03/08/2017 5:37:27 PM PST,03/08/2017 5:40:06 PM PST,COMPLETE,Survey Link,Yes,Yes,4,Somewhat Disapprove,4,3,Maybe,Yes,Yes,Not sure,Yes,Disagree,No Opinion,To little extent,Somewhat familiar,15217
Public,260279609,02/22/2017 10:29:01 AM PST,02/22/2017 12:17:09 PM PST,COMPLETE,Survey Link,Yes,Not sure,3,Approve,4,4,Yes,Yes,Yes,Not sure,Yes,Neutral,No Opinion,To a moderate extent,Somewhat familiar,15201
Public,260279923,02/22/2017 10:39:30 AM PST,02/22/2017 10:44:04 AM PST,COMPLETE,Survey Link,Yes,Yes,3,Approve,3,4,Yes,Not sure,No,No,No,Neutral,Actively Support,To a large extent,Mostly Unfamiliar,15201
Public,260280421,02/22/2017 10:52:03 AM PST,02/22/2017 10:57:42 AM PST,COMPLETE,Survey Link,Yes,Yes,3,Somewhat Approve,2,3,Yes,Yes,Yes,No,Yes,Agree,Neither Support nor Oppose,To a large extent,Extremely familiar,15201
Public,260281651,02/22/2017 11:34:37 AM PST,02/22/2017 11:37:56 AM PST,COMPLETE,Survey Link,Yes,No,3,Somewhat Approve,2,4,Yes,Yes,No,Not sure,Not sure,Agree,Neither Support nor Oppose,To a large extent,Somewhat familiar,15221
Public,260294526,02/22/2017 6:42:53 PM PST,02/22/2017 6:47:47 PM PST,COMPLETE,Survey Link,Yes,No,3,Somewhat Approve,4,4,Yes,Yes,Yes,Not sure,Yes,Neutral,Actively Support,To a large extent,Somewhat familiar,15201
Public,260328415,02/23/2017 6:06:24 AM PST,02/23/2017 6:21:57 AM PST,COMPLETE,Survey Link,Yes,Yes,3,Somewhat Approve,2,3,Yes,Yes,Yes,No,Yes,Agree,Actively Support,To a moderate extent,Mostly Unfamiliar,15210
Public,260328569,02/23/2017 6:14:45 AM PST,02/23/2017 6:31:15 AM PST,COMPLETE,Survey Link,Yes,No,3,Approve,2,4,Maybe,No,Yes,No,Yes,Strongly Disagree,Neither Support nor Oppose,To some extent,Somewhat familiar,15217
Public,260334980,02/23/2017 10:54:30 AM PST,02/23/2017 11:18:53 AM PST,COMPLETE,Survey Link,Yes,No,3,Neutral,4,5,Not sure,Yes,Not sure,Not sure,Not sure,Neutral,Neither Support nor Oppose,To little extent,Mostly Unfamiliar,15206
Public,260336227,02/23/2017 11:27:53 AM PST,02/23/2017 11:31:33 AM PST,COMPLETE,Survey Link,Yes,No,3,Approve,4,4,Yes,Not sure,No,No,Yes,Neutral,Actively Support,To little extent,Mostly Unfamiliar,15202
Public,260336336,02/23/2017 11:30:41 AM PST,02/23/2017 11:35:05 AM PST,COMPLETE,Survey Link,Not sure,Yes,3,Approve,2,5,Yes,Not sure,Not sure,Not sure,Yes,Disagree,Actively Support,To a moderate extent,Mostly familiar,15211
Public,260336901,02/23/2017 11:47:47 AM PST,02/23/2017 11:53:04 AM PST,COMPLETE,Survey Link,Not sure,Yes,3,Somewhat Disapprove,3,2,Not sure,Yes,Yes,Not sure,Not sure,Agree,No Opinion,To a moderate extent,Somewhat familiar,15201
Public,260338143,02/23/2017 12:12:06 PM PST,02/23/2017 1:25:15 PM PST,COMPLETE,Survey Link,Yes,Yes,3,Approve,3,4,Yes,Yes,No,No,Yes,Disagree,Actively Support,To little extent,Mostly Unfamiliar,15217
Public,260338624,02/23/2017 12:24:42 PM PST,02/23/2017 12:26:50 PM PST,COMPLETE,Survey Link,Yes,Yes,3,Approve,4,4,Yes,Yes,Yes,No,Yes,Strongly Agree,Actively Support,To a large extent,Extremely familiar,15044
Public,260339243,02/23/2017 12:41:41 PM PST,02/23/2017 1:02:59 PM PST,COMPLETE,Survey Link,Yes,Yes,3,Approve,3,4,Yes,No,No,No,Not sure,Agree,Actively Support,To a large extent,Extremely familiar,15214
Public,260340954,02/23/2017 1:21:44 PM PST,02/23/2017 1:52:37 PM PST,COMPLETE,Survey Link,Not sure,Not sure,3,Approve,3,3,Maybe,Yes,Yes,Not sure,Yes,Agree,Actively Support,To a moderate extent,Mostly familiar,15203
Public,260341088,02/23/2017 1:26:42 PM PST,02/23/2017 1:37:09 PM PST,COMPLETE,Survey Link,Not sure,No,3,Somewhat Approve,4,4,Maybe,Yes,Yes,Not sure,Yes,Agree,Neither Support nor Oppose,To a moderate extent,Mostly Unfamiliar,15212
Public,260342310,02/23/2017 1:58:20 PM PST,02/23/2017 2:03:53 PM PST,COMPLETE,Survey Link,Yes,Yes,3,Disapprove,3,5,Maybe,Yes,Yes,Yes,Yes,Agree,Actively Oppose,To some extent,Somewhat familiar,15206
Public,260342435,02/23/2017 2:03:48 PM PST,02/23/2017 2:10:29 PM PST,COMPLETE,Survey Link,No,Yes,3,Somewhat Approve,3,3,Maybe,Yes,No,No,Yes,Neutral,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15217
Public,260343514,02/23/2017 2:29:27 PM PST,02/23/2017 2:36:07 PM PST,COMPLETE,Survey Link,Yes,No,3,Approve,2,4,Yes,Yes,No,No,Yes,Disagree,Actively Support,To a moderate extent,Extremely familiar,15212
Public,260343909,02/23/2017 2:33:39 PM PST,02/23/2017 2:53:21 PM PST,COMPLETE,Survey Link,Yes,No,3,Disapprove,1,1,Maybe,Yes,Yes,Yes,Yes,Agree,No Opinion,To some extent,Somewhat familiar,15120
Public,260347779,02/23/2017 4:29:25 PM PST,02/23/2017 4:32:41 PM PST,COMPLETE,Survey Link,Yes,Not sure,3,Approve,4,4,Yes,Not sure,No,No,Not sure,Disagree,No Opinion,To little extent,Mostly Unfamiliar,15224
Public,260349981,02/23/2017 5:42:17 PM PST,02/23/2017 5:54:19 PM PST,COMPLETE,Survey Link,No,Yes,3,Neutral,3,3,Yes,Yes,No,Not sure,Yes,Agree,Neither Support nor Oppose,To a large extent,Mostly familiar,15232
Public,260351424,02/23/2017 6:35:53 PM PST,02/23/2017 6:39:19 PM PST,COMPLETE,Survey Link,Not sure,Yes,3,Approve,4,4,Maybe,Yes,Not sure,Not sure,Yes,Disagree,Neither Support nor Oppose,To a moderate extent,Mostly Unfamiliar,15217
Public,260352129,02/23/2017 7:00:15 PM PST,02/23/2017 7:05:40 PM PST,COMPLETE,Survey Link,Yes,No,3,Approve,3,4,Yes,Not sure,Not sure,Not sure,Yes,Neutral,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15228
Public,260385623,02/24/2017 7:17:08 AM PST,02/24/2017 7:27:12 AM PST,COMPLETE,Survey Link,Yes,Yes,3,Approve,2,4,Yes,Yes,Yes,No,Not sure,Agree,Actively Support,To a large extent,Extremely familiar,15207
Public,260391583,02/24/2017 10:37:35 AM PST,02/24/2017 10:43:42 AM PST,COMPLETE,Survey Link,Yes,Yes,3,Somewhat Disapprove,2,2,Maybe,Yes,Yes,Yes,Yes,Agree,Neither Support nor Oppose,To a moderate extent,Mostly Unfamiliar,15201
Public,260392954,02/24/2017 11:38:06 AM PST,02/24/2017 11:42:36 AM PST,COMPLETE,Survey Link,No,Yes,3,Somewhat Approve,4,4,Yes,Not sure,Not sure,No,Not sure,Disagree,Neither Support nor Oppose,To a moderate extent,Mostly familiar,15207
Public,260397013,02/24/2017 1:58:10 PM PST,02/24/2017 2:02:18 PM PST,COMPLETE,Survey Link,Yes,Yes,3,Somewhat Disapprove,4,1,Maybe,No,No,Yes,Not sure,Agree,Actively Support,To a large extent,Mostly familiar,15213
Public,260399969,02/24/2017 3:55:11 PM PST,02/24/2017 4:02:28 PM PST,COMPLETE,Survey Link,Yes,Yes,3,Approve,3,4,Yes,Yes,No,No,No,Neutral,Actively Support,To a large extent,Extremely familiar,15221
Public,260409980,02/25/2017 5:38:55 AM PST,02/25/2017 5:46:30 AM PST,COMPLETE,Survey Link,Yes,Yes,3,Disapprove,4,2,No,Not sure,Not sure,Yes,Yes,Agree,Actively Oppose,To some extent,Somewhat familiar,15206
Public,260485693,02/25/2017 10:12:44 AM PST,02/25/2017 10:20:53 AM PST,COMPLETE,Survey Link,Yes,Yes,3,Approve,3,4,Yes,Yes,Yes,Not sure,Yes,Agree,Actively Support,To a large extent,Somewhat familiar,15224
Public,260589943,02/26/2017 4:08:17 PM PST,02/26/2017 4:15:24 PM PST,COMPLETE,Survey Link,Yes,Yes,3,Approve,3,5,Yes,Yes,No,No,Yes,Agree,Actively Support,To a large extent,Mostly familiar,15213
Public,260739659,03/01/2017 9:30:35 PM PST,03/08/2017 7:20:19 PM PST,COMPLETE,Survey Link,Yes,No,3,Disapprove,4,3,No,Yes,Not sure,Yes,Not sure,,Actively Oppose,To a large extent,Somewhat familiar,15212
Public,260777805,03/02/2017 12:48:23 PM PST,03/02/2017 12:51:10 PM PST,COMPLETE,Survey Link,No,Yes,3,Approve,4,4,Yes,No,No,No,No,Neutral,Actively Support,To a large extent,Extremely familiar,15201
Public,260778116,03/02/2017 12:58:59 PM PST,03/02/2017 1:03:44 PM PST,COMPLETE,Survey Link,No,Yes,3,Somewhat Approve,3,3,Maybe,Yes,Yes,Not sure,Yes,Agree,Neither Support nor Oppose,To some extent,Not familiar at all,15228
Public,260778267,03/02/2017 1:08:05 PM PST,03/02/2017 1:35:33 PM PST,COMPLETE,Survey Link,Yes,Yes,3,Approve,3,5,Yes,Yes,No,No,Yes,Neutral,Neither Support nor Oppose,To a large extent,Mostly familiar,15208
Public,260851540,03/04/2017 9:16:16 AM PST,03/04/2017 9:29:21 AM PST,COMPLETE,Social,No,Yes,3,Approve,2,4,Yes,Not sure,Not sure,No,Yes,Agree,Actively Support,To a large extent,Somewhat familiar,15217
Public,260851542,03/04/2017 9:16:19 AM PST,03/04/2017 9:30:04 AM PST,COMPLETE,Survey Link,Yes,Yes,3,Approve,3,4,Yes,No,No,No,Yes,Agree,Actively Support,To a large extent,Mostly familiar,15201
Public,260868982,03/05/2017 6:25:14 AM PST,03/05/2017 6:31:57 AM PST,COMPLETE,Social,Yes,Yes,3,Somewhat Approve,4,4,Maybe,Yes,Yes,Not sure,Yes,Strongly Agree,Neither Support nor Oppose,To a moderate extent,Mostly familiar,15232
Public,260897346,03/06/2017 11:09:30 AM PST,03/06/2017 11:16:54 AM PST,COMPLETE,Survey Link,No,Yes,3,Disapprove,1,1,Yes,Yes,Yes,No,Yes,Strongly Agree,Actively Support,To a large extent,Extremely familiar,15108
Public,260897409,03/06/2017 11:12:20 AM PST,03/06/2017 11:14:57 AM PST,COMPLETE,Survey Link,Yes,Yes,3,Somewhat Disapprove,4,2,Maybe,Yes,Yes,Yes,Yes,Agree,Actively Oppose,To a moderate extent,Somewhat familiar,15213
Public,260898060,03/06/2017 11:38:39 AM PST,03/06/2017 11:49:27 AM PST,COMPLETE,Survey Link,Yes,Not sure,3,Somewhat Approve,2,3,Yes,No,No,No,Yes,Agree,Actively Support,To a moderate extent,Somewhat familiar,15213
Public,260901002,03/06/2017 1:33:07 PM PST,03/06/2017 1:42:48 PM PST,COMPLETE,Survey Link,Yes,Yes,3,Approve,2,4,Yes,Yes,No,Yes,Yes,Neutral,Actively Support,To a moderate extent,Somewhat familiar,15068
Public,260904633,03/06/2017 4:03:10 PM PST,03/06/2017 4:09:53 PM PST,COMPLETE,Survey Link,Yes,Yes,3,Approve,3,5,Yes,Yes,No,No,Yes,Agree,Actively Support,To a large extent,Extremely familiar,15203
Public,260907505,03/06/2017 6:12:34 PM PST,03/06/2017 6:20:40 PM PST,COMPLETE,Survey Link,Yes,Yes,3,Neutral,3,3,Not sure,Yes,Yes,Not sure,Yes,Disagree,Neither Support nor Oppose,To some extent,Mostly Unfamiliar,15232
Public,261089251,03/08/2017 9:44:07 AM PST,03/08/2017 9:47:36 AM PST,COMPLETE,Survey Link,No,Yes,3,Neutral,3,4,Maybe,Yes,Yes,No,Yes,Agree,Neither Support nor Oppose,To a large extent,Somewhat familiar,15224
Public,261091604,03/08/2017 10:48:50 AM PST,03/08/2017 10:55:21 AM PST,COMPLETE,Social,No,Yes,3,Approve,4,4,Yes,Yes,No,No,Yes,Agree,Actively Support,To a large extent,Mostly familiar,15222
